City,CO,NO2,O3,SO2,PM2.5,PM10
Lynchburg,216.96,1.32,80.82,0.85,5.51,6.98
Westminster,233.65,18.68,50.78,6.44,0.87,1.11
Paradise,307.08,15.08,45.78,1.12,4.13,15.63
Lynwood,1214.98,79.51,8.67,11.21,33.54,56.24
Camarillo,263.69,5.01,48.64,0.22,4.26,8.42
Lake Forest,243.66,1.93,66.52,0.38,0.5,0.94
Naperville,250.34,2.74,62.94,0.67,0.59,1.03
Boise,320.44,6.86,32.54,0.03,2.2,4.31
Stockton,547.41,22.28,6.71,1.06,15.01,22.37
Lawrence,240.33,2.55,62.94,2.24,0.5,0.9
Peoria,243.66,2.59,61.51,1.31,0.52,0.96
O'Fallon,236.99,1.97,66.52,0.43,0.55,1.08
Mesa,453.95,23.99,28.25,0.95,8.34,18.52
Bryan,216.96,4.11,56.51,0.57,4.45,7.43
Garland,273.71,9.08,32.19,1.15,5.5,5.83
Springfield,240.33,1.41,62.94,1.86,0.5,0.7
Flint,250.34,2.06,55.79,0.29,0.82,0.98
Tacoma,494.0,33.24,1.57,1.18,10.42,12.9
Waterbury,270.37,8.82,67.95,1.52,1.92,3.67
Eagan,243.66,4.41,77.96,1.46,0.6,0.92
Fort Smith,243.66,2.31,55.79,0.34,2.65,3.37
Carmichael,220.3,1.37,47.21,2.38,1.51,4.01
Daly City,814.44,58.26,4.16,6.02,25.13,34.23
Murrieta,253.68,9.6,63.66,1.49,3.29,14.55
Quincy,377.18,35.3,27.9,5.96,5.91,7.3
Boulder,216.96,2.29,65.8,0.02,0.9,2.88
Evanston,257.02,3.94,65.8,0.83,0.75,1.31
Dothan,213.62,0.71,90.84,0.33,9.13,12.62
Antioch,270.37,7.54,38.27,4.23,4.99,5.72
Madison,240.33,1.41,65.09,0.51,0.5,0.68
Victorville,250.34,6.0,58.65,0.24,3.91,18.76
Billings,230.31,3.6,62.23,0.1,0.81,1.51
Sandy Springs,233.65,6.26,75.1,7.09,11.07,15.86
Iowa City,250.34,2.83,55.08,0.23,0.54,0.89
Largo,226.97,5.48,98.71,1.24,3.54,7.36
Shreveport,257.02,14.4,34.69,1.73,7.03,13.25
Kalamazoo,236.99,1.82,65.8,0.69,0.5,0.78
Round Rock,243.66,9.94,33.98,1.07,5.38,11.78
Columbia,230.31,1.74,82.25,1.13,11.51,14.24
Sandy,747.68,44.55,16.99,3.87,27.89,32.97
Hoover,220.3,3.21,60.08,0.64,8.85,13.4
Fullerton,727.65,45.93,11.8,4.29,17.23,31.85
Rapid City,195.27,0.71,75.82,0.24,0.5,0.89
Newport Beach,841.14,65.8,15.2,6.56,18.42,35.19
Palm Coast,208.62,1.06,95.84,0.39,5.12,8.77
Albany,300.41,19.36,48.64,3.04,2.58,3.31
Providence,343.8,23.65,33.62,2.89,3.67,5.42
Decatur,247.0,3.04,60.8,4.05,0.63,0.98
Anaheim,727.65,45.93,11.8,4.29,17.23,31.85
Rochester,287.06,7.88,54.36,1.54,1.34,1.73
Buffalo,267.03,5.48,61.51,1.24,0.68,1.0
Richmond,257.02,3.04,76.53,1.62,15.66,17.91
Sunnyvale,961.3,73.34,10.37,8.46,35.25,43.33
Milwaukee,250.34,2.64,65.8,0.83,0.56,0.92
Conroe,247.0,16.79,50.78,6.14,9.69,18.57
Savannah,253.68,1.89,84.4,0.31,16.63,19.85
Costa Mesa,841.14,65.8,15.2,6.56,18.42,35.19
New Haven,270.37,12.68,67.23,2.5,2.03,4.45
Westland,257.02,3.3,55.08,0.69,0.7,0.9
Cedar Rapids,243.66,1.8,60.08,0.22,0.51,0.82
Troy,300.41,19.36,48.64,3.04,2.58,3.31
Santa Barbara,223.64,5.83,54.36,0.35,4.56,7.31
Chino,220.3,5.57,66.52,0.65,2.6,12.28
Tucson,547.41,28.45,52.21,2.24,18.02,32.37
Joliet,243.66,1.74,64.37,0.38,0.5,0.94
Moreno Valley,247.0,7.88,75.1,1.28,3.13,15.61
Elizabeth,300.41,13.71,62.23,2.68,5.69,9.58
Wyoming,236.99,2.16,66.52,2.0,0.5,0.79
Norman,240.33,5.91,62.94,2.41,0.88,1.26
Frisco,250.34,4.03,45.06,0.65,4.0,4.2
Waterloo,236.99,1.97,70.81,0.25,0.52,1.09
Oakland,620.84,43.87,5.14,8.94,16.45,25.66
Jonesboro,257.02,2.4,50.78,1.48,4.47,5.08
Springfield,240.33,1.41,62.94,1.86,0.5,0.7
Mission,223.64,3.3,60.8,2.27,2.42,2.93
Lansing,247.0,2.68,61.51,1.07,0.69,0.91
Bay,220.3,2.42,73.67,0.18,0.57,0.65
Poinciana,206.95,0.84,94.41,0.31,4.11,7.38
Davis,350.48,13.71,11.18,0.2,4.91,7.45
Lehigh Acres,201.94,0.49,83.69,0.25,2.16,4.9
Henderson,230.31,5.01,67.95,0.58,1.54,6.52
Framingham,357.15,28.1,29.33,3.01,5.34,7.56
